,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,1.27,0.71,0.83,21.84,15.7,,21.03,28.13,47.07,351.03,104.97
,,mujer,,0,0,0,21.55,15.1,,7.55,8.7,3.32,358.74,93.29
,Noviembre,,,,,,,,,,,,,
,,hombre,,1.27,0.71,0.83,21.84,15.7,,21.03,28.13,47.07,351.03,104.97
,,mujer,,0,0,0,21.55,15.1,,7.55,8.7,3.32,358.74,93.29
,Diciembre,,,,,,,,,,,,,
,,hombre,,1.27,0.71,0.83,21.84,15.7,,21.03,28.13,47.07,351.03,104.97
,,mujer,,0,0,0,21.55,15.1,,7.55,8.7,3.32,358.74,93.29
,Julio,,,,,,,,,,,,,
,,hombre,,1.49,1.08,1.09,21.1,17.52,,20.07,30.22,44.03,339.47,108.04
,,mujer,,0,0,0,22.29,14.62,,6.38,8.65,4.07,348.95,97.07
,Agosto,,,,,,,,,,,,,
,,hombre,,1.49,1.08,1.09,21.1,17.52,,20.07,30.22,44.03,339.47,108.04
,,mujer,,0,0,0,22.29,14.62,,6.38,8.65,4.07,348.95,97.07
,Septiembre,,,,,,,,,,,,,
,,hombre,,1.49,1.08,1.09,21.1,17.52,,20.07,30.22,44.03,339.47,108.04
,,mujer,,0,0,0,22.29,14.62,,6.38,8.65,4.07,348.95,97.07
,Abril,,,,,,,,,,,,,
,,hombre,,1.57,0.27,1.65,22.22,15.89,,21.73,32.91,43.68,340.12,110.16
,,mujer,,0.29,0,0,21.57,14.31,,7.71,6.03,4.23,349.4,98.22
,Mayo,,,,,,,,,,,,,
,,hombre,,1.57,0.27,1.65,22.22,15.89,,21.73,32.91,43.68,340.12,110.16
,,mujer,,0.29,0,0,21.57,14.31,,7.71,6.03,4.23,349.4,98.22
,Junio,,,,,,,,,,,,,
,,hombre,,1.57,0.27,1.65,22.22,15.89,,21.73,32.91,43.68,340.12,110.16
,,mujer,,0.29,0,0,21.57,14.31,,7.71,6.03,4.23,349.4,98.22
,Enero,,,,,,,,,,,,,
,,hombre,,0.75,0.58,1.96,24.97,14.92,,24.9,36.42,44.65,328.7,108.88
,,mujer,,0.49,0,0,24.28,18.02,,7.3,8.02,4.31,349.39,95
,Febrero,,,,,,,,,,,,,
,,hombre,,0.75,0.58,1.96,24.97,14.92,,24.9,36.42,44.65,328.7,108.88
,,mujer,,0.49,0,0,24.28,18.02,,7.3,8.02,4.31,349.39,95
,Marzo,,,,,,,,,,,,,
,,hombre,,0.75,0.58,1.96,24.97,14.92,,24.9,36.42,44.65,328.7,108.88
,,mujer,,0.49,0,0,24.28,18.02,,7.3,8.02,4.31,349.39,95
,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,0.89,0.69,1.49,20.76,22.89,,25.24,37.68,49.12,327.55,109.07
,,mujer,,0,0,0,20.16,21.4,,5.92,8.56,3.8,354.53,94.26
,Noviembre,,,,,,,,,,,,,
,,hombre,,0.89,0.69,1.49,20.76,22.89,,25.24,37.68,49.12,327.55,109.07
,,mujer,,0,0,0,20.16,21.4,,5.92,8.56,3.8,354.53,94.26
,Diciembre,,,,,,,,,,,,,
,,hombre,,0.89,0.69,1.49,20.76,22.89,,25.24,37.68,49.12,327.55,109.07
,,mujer,,0,0,0,20.16,21.4,,5.92,8.56,3.8,354.53,94.26
,Julio,,,,,,,,,,,,,
,,hombre,,1.12,1.33,1.45,19.05,23.27,,21.1,34.09,51.4,330.3,113.2
